,"""cms_id""","""agency_name""","""addr1""","""addr2""","""city""","""state""","""zip""","""county""","""phone_number""","""website""","""ownership_types""","""data_source"""
20,"""17054""","""KINDRED AT HOME""","""2100 SOUTHBRIDGE PKWY, SUITE 480""",,"""BIRMINGHAM""","""AL""","""35209""",,"""(205) 836-0777""",,"""private""","""{cms-hh}"""
21,"""17055""","""KINDRED AT HOME""","""1988 FAIRVIEW AVENUE""",,"""PRATTVILLE""","""AL""","""36066""",,"""(334) 361-9806""",,"""private""","""{cms-hh}"""
22,"""17056""","""KINDRED AT HOME""","""11123 CHANTILLY PARKWAY, UNIT L""",,"""PIKE ROAD""","""AL""","""36064""",,"""(334) 270-1151""",,"""private""","""{cms-hh}"""
23,"""17058""","""KINDRED AT HOME""","""9037 INDEPENDENCE AVENUE, SUITE B""",,"""DAPHNE""","""AL""","""36526""",,"""(251) 621-0882""",,"""private""","""{cms-hh}"""
24,"""17063""","""INTREPID USA HEALTHCARE SERVICES""","""2700 CORPORATE DRIVE, SUITE 200""",,"""BIRMINGHAM""","""AL""","""35242""",,"""(205) 877-3403""",,"""private""","""{cms-hh}"""
25,"""17066""","""SPRINGHILL HOME HEALTH AND HOSPICE""","""10 MOBILE STREET""",,"""MOBILE""","""AL""","""36607""",,"""(251) 433-8172""",,"""private""","""{cms-hh}"""
26,"""17069""","""AMEDISYS HOME HEALTH OF FOLEY""","""200 WEST LAUREL AVENUE, SUITE 210""",,"""FOLEY""","""AL""","""36535""",,"""(800) 763-6382""",,"""private""","""{cms-hh}"""
27,"""17070""","""AMEDISYS HOME HEALTH OF CITRONELLE""","""19375 NORTH 3RD STREET, SUITE 101""",,"""CITRONELLE""","""AL""","""36522""",,"""(251) 866-3261""",,"""private""","""{cms-hh}"""
28,"""17071""","""KINDRED AT HOME""","""20 ALMON DRIVE SUITE C""",,"""MOULTON""","""AL""","""35650""",,"""(205) 739-7800""",,"""private""","""{cms-hh}"""
29,"""17072""","""AMEDISYS HOME HEALTH OF GREENVILLE""","""525 GREENVILLE BYPASS""",,"""GREENVILLE""","""AL""","""36037""",,"""(334) 382-2042""",,"""private""","""{cms-hh}"""
30,"""17078""","""AMEDISYS HOME HEALTH OF REFORM""","""315 1ST STREET SOUTH""",,"""REFORM""","""AL""","""35481""",,"""(800) 277-7445""",,"""private""","""{cms-hh}"""
31,"""17079""","""ENCOMPASS HEALTH HOME HEALTH""","""PO BOX 547""",,"""VERNON""","""AL""","""35592""",,"""(205) 695-6736""",,"""private""","""{cms-hh}"""
32,"""17080""","""DCH HOME HEALTH CARE AGENCY""","""1110 DR EDWARD HILLARD DRIVE""",,"""TUSCALOOSA""","""AL""","""35401""",,"""(205) 759-7010""",,"""np_private""","""{cms-hh}"""
33,"""17082""","""CV HOME HEALTH OF BIBB COUNTY""","""155 BIRMINGHAM ROAD, SUITES 118, 123, & 125""",,"""CENTREVILLE""","""AL""","""35042""",,"""(205) 926-3211""",,"""private""","""{cms-hh}"""
34,"""17084""","""KINDRED AT HOME""","""200 CENTRAL PARK PLACE""",,"""SELMA""","""AL""","""36701""",,"""(334) 872-6637""",,"""private""","""{cms-hh}"""
35,"""17085""","""COOSA VALLEY HOMECARE""","""209 WEST SPRING STREET, SUIT 305""",,"""SYLACAUGA""","""AL""","""35150""",,"""(256) 208-0087""",,"""private""","""{cms-hh}"""
36,"""17086""","""ALABAMA HOMECARE""","""15 CLAIBORNE STREET, SUITE C""",,"""CAMDEN""","""AL""","""36726""",,"""(334) 682-9050""",,"""private""","""{cms-hh}"""
37,"""17088""","""FAYETTE MEDICAL CENTER HOMECARE""","""1653 TEMPLE AVENUE""",,"""FAYETTE""","""AL""","""35555""",,"""(205) 932-5961""",,"""private""","""{cms-hh}"""
38,"""17089""","""CULLMAN REGIONAL HOME CARE""","""1938 AL HIGHWAY 157, SUITE 102""",,"""CULLMAN""","""AL""","""35058""",,"""(256) 737-2831""",,"""np_private""","""{cms-hh}"""
39,"""17090""","""KINDRED AT HOME""","""114 N ACADEMY AVENUE""",,"""BUTLER""","""AL""","""36904""",,"""(251) 843-2808""",,"""private""","""{cms-hh}"""
40,"""17091""","""HALE COUNTY HOSPITAL HOME HEALTH""","""506 GREENE STREET""",,"""GREENSBORO""","""AL""","""36744""",,"""(334) 624-3066""",,"""state_county""","""{cms-hh}"""
41,"""17092""","""ENCOMPASS HEALTH HOME HEALTH""","""194 WILLIAM E HILL DRIVE""",,"""CARROLLTON""","""AL""","""35447""",,"""(205) 367-8111""",,"""private""","""{cms-hh}"""
42,"""17093""","""DEKALB REGIONAL HOME HEALTH""","""1706 GLENN BOULEVARD, SUITE 3""",,"""FORT PAYNE""","""AL""","""35968""",,"""(256) 524-2411""",,"""private""","""{cms-hh}"""
43,"""17094""","""CHEROKEE HOME HEALTH""","""104C NORTHWOOD DRIVE, STE A-1""",,"""CENTRE""","""AL""","""35960""",,"""(256) 927-1144""",,"""private""","""{cms-hh}"""
44,"""17095""","""ATHENS-LIMESTONE HOMECARE""","""725 WEST MARKET STREET, SUITE A""",,"""ATHENS""","""AL""","""35611""",,"""(256) 233-9533""",,"""private""","""{cms-hh}"""
45,"""17096""","""TROY REGIONAL MEDICAL CENTER HOME HEALTH""","""798 HIGHWAY 231 SOUTH""",,"""TROY""","""AL""","""36081""",,"""(334) 403-4520""",,"""private""","""{cms-hh}"""
46,"""17097""","""CLAY COUNTY HOSPITAL HOME CARE, LLC""","""83825 HIGHWAY 9""",,"""ASHLAND""","""AL""","""36251""",,"""(256) 354-0077""",,"""private""","""{cms-hh}"""
47,"""17100""","""MARION REGIONAL HOMECARE""","""234 1ST AVENUE SW, SUITE 2""",,"""HAMILTON""","""AL""","""35570""",,"""(205) 921-0391""",,"""private""","""{cms-hh}"""
48,"""17103""","""BRYAN W. WHITFIELD MEMORIAL HOSPITAL HOME HEALTH""","""105 HIGHWAY 80 EAST""",,"""DEMOPOLIS""","""AL""","""36732""",,"""(334) 289-0701""",,"""combination""","""{cms-hh}"""
49,"""17104""","""HIGHLANDS HOME HEALTH""","""901 HEROES DRIVE""",,"""SCOTTSBORO""","""AL""","""35768""",,"""(256) 259-4840""",,"""state_county""","""{cms-hh}"""
50,"""17106""","""EVERGREEN HOME CARE""","""308 SOUTH MAIN STREET""",,"""EVERGREEN""","""AL""","""36401""",,"""(251) 578-6800""",,"""private""","""{cms-hh}"""
51,"""17107""","""SUNCREST HOME HEALTH""","""222-224 7TH STREET SOUTH, SUITE 224""",,"""CLANTON""","""AL""","""35045""",,"""(205) 280-4663""",,"""private""","""{cms-hh}"""
52,"""17109""","""NORTHWEST HOME HEALTH - HALEYVILLE""","""42030 HIGHWAY 195 SUITE D""",,"""HALEYVILLE""","""AL""","""35565""",,"""(205) 485-7341""",,"""np_private""","""{cms-hh}"""
53,"""17112""","""JACKSON MEDICAL CENTER HOME HEALTH""","""3748N COLLEGE AVENUE""",,"""JACKSON""","""AL""","""36545""",,"""(251) 247-0424""",,"""private""","""{cms-hh}"""
54,"""17115""","""GADSDEN REGIONAL HOME HEALTH""","""300 MEDICAL CENTER DRIVE, SUITE 403""",,"""GADSDEN""","""AL""","""35903""",,"""(256) 538-2273""",,"""private""","""{cms-hh}"""
55,"""17116""","""IVY CREEK HOME HEALTH OF ELMORE""","""500 HOSPITAL DRIVE""",,"""WETUMPKA""","""AL""","""36092""",,"""(334) 567-7710""",,"""private""","""{cms-hh}"""
56,"""17117""","""LAKE MARTIN HOME HEALTH""","""729 EAST SOUTH STREET""",,"""DADEVILLE""","""AL""","""36853""",,"""(256) 825-7050""",,"""private""","""{cms-hh}"""
57,"""17118""","""AMEDISYS HH, A LAWRENCE MEDICAL CENTER PARTNER""","""15190 COURT STREET, SUITE B""",,"""MOULTON""","""AL""","""35650""",,"""(256) 974-2200""",,"""private""","""{cms-hh}"""
58,"""17119""","""HUNTSVILLE HOSPITAL HOMECARE""","""500 BOULEVARD SOUTH SW, SUITE 203""",,"""HUNTSVILLE""","""AL""","""35802""",,"""(256) 922-6650""",,"""private""","""{cms-hh}"""
59,"""17121""","""KINDRED AT HOME""","""1309 ANTIOCH ROAD""",,"""ANDALUSIA""","""AL""","""36420""",,"""(334) 222-2172""",,"""private""","""{cms-hh}"""
60,"""17123""","""EAMC - LANIER HOME HEALTH""","""1806 44TH ST.""",,"""VALLEY""","""AL""","""36854""",,"""(334) 756-1950""",,"""private""","""{cms-hh}"""
61,"""17124""","""DALE MEDICAL CENTER HOME HEALTH""","""126 HOSPITAL AVENUE""",,"""OZARK""","""AL""","""36360""",,"""(334) 774-0750""",,"""np_other""","""{cms-hh}"""
62,"""17125""","""KELLER HOME CARE""","""203 4TH AVENUE SW""",,"""RED BAY""","""AL""","""35582""",,"""(256) 356-2273""",,"""private""","""{cms-hh}"""
63,"""17128""","""MEDICAL CENTERS HOMECARE""","""5850 US HWY 431, SUITE 34""",,"""ALBERTVILLE""","""AL""","""35950""",,"""(256) 878-5811""",,"""private""","""{cms-hh}"""
64,"""17129""","""HOMECARE OF EAST ALABAMA MEDICAL CENTER""","""1661 SHUG JORDAN PKWY, UNIT 505""",,"""AUBURN""","""AL""","""36830""",,"""(334) 826-3131""",,"""private""","""{cms-hh}"""
65,"""17130""","""INFIRMARY HOMECARE""","""800 COLLEGE AVENUE""",,"""JACKSON""","""AL""","""36545""",,"""(251) 262-6477""",,"""private""","""{cms-hh}"""
66,"""17132""","""NURSE ON CALL""","""1104 2ND AVE EAST, SUITE C""",,"""ONEONTA""","""AL""","""35121""",,"""(205) 274-0720""",,"""private""","""{cms-hh}"""
67,"""17134""","""LHC HOMECARE OF SOUTH ALABAMA""","""1802 US HIGHWAY 84 WEST, SUITE A""",,"""OPP""","""AL""","""36467""",,"""(334) 493-2087""",,"""private""","""{cms-hh}"""
68,"""17135""","""COMMUNITY HOME HEALTH""","""1526 GILMER AVENUE""",,"""TALLASSEE""","""AL""","""36078""",,"""(334) 283-6541""",,"""np_other""","""{cms-hh}"""
69,"""17136""","""RELIABLE HOME HEALTH""","""435 MEETING AVENUE""",,"""GEORGIANA""","""AL""","""36033""",,"""(334) 376-2286""",,"""private""","""{cms-hh}"""
70,"""17138""","""L V STABLER MEMORIAL HOME HEALTH""","""104 CAMELLIA AVENUE, SUITE B""",,"""GREENVILLE""","""AL""","""36037""",,"""(334) 383-2286""",,"""private""","""{cms-hh}"""
71,"""17140""","""THE HOSPITAL HOME HEALTH""","""101 HOSPITAL CIRCLE""",,"""LUVERNE""","""AL""","""36049""",,"""(334) 335-3374""",,"""private""","""{cms-hh}"""
72,"""17142""","""ATMORE COMMUNITY HOME CARE""","""810 E CRAIG STREET""",,"""ATMORE""","""AL""","""36502""",,"""(251) 368-6286""",,"""np_other""","""{cms-hh}"""
73,"""17143""","""D W MCMILLAN HOME HEALTH""","""114 W JACKSON STREET""",,"""BREWTON""","""AL""","""36426""",,"""(251) 867-5054""",,"""private""","""{cms-hh}"""
74,"""17145""","""ST VINCENTS HOME HEALTH OF ST CLAIR COUNTY""","""2401 STEMLEY BRIDGE ROAD, SUITE 7""",,"""PELL CITY""","""AL""","""35128""",,"""(205) 884-7202""",,"""private""","""{cms-hh}"""
75,"""17146""","""NORTHWEST HOME HEALTH""","""711 HOSPITAL DRIVE, NE""",,"""RUSSELLVILLE""","""AL""","""35653""",,"""(256) 331-0006""",,"""np_private""","""{cms-hh}"""
76,"""17147""","""PRIME HOME HEALTH OF LEE COUNTY""","""2125 EXECUTIVE PARK DRIVE""",,"""OPELIKA""","""AL""","""36801""",,"""(334) 745-7966""",,"""private""","""{cms-hh}"""
77,"""17148""","""THOMAS HOME HEALTH""","""7530 PARKER ROAD, SUITE 200""",,"""FAIRHOPE""","""AL""","""36532""",,"""(251) 990-9200""",,"""private""","""{cms-hh}"""
78,"""17149""","""ASCENSION AT HOME""","""1400 URBAN CENTER DRIVE, SUITE 240""",,"""BIRMINGHAM""","""AL""","""35242""",,"""(205) 313-2800""",,"""private""","""{cms-hh}"""
79,"""17151""","""KINDRED AT HOME""","""1900 LEIGHTON AVENUE, SUITE 102""",,"""ANNISTON""","""AL""","""36207""",,"""(256) 835-7101""",,"""private""","""{cms-hh}"""
80,"""17152""","""KINDRED AT HOME""","""1025 WEST FORT WILLIAMS ST""",,"""SYLACAUGA""","""AL""","""35150""",,"""(256) 249-4363""",,"""private""","""{cms-hh}"""
81,"""17153""","""COMFORT CARE HOME HEALTH OF ALABASTER""","""240 VILLAGE DRIVE""",,"""PELHAM""","""AL""","""35124""",,"""(205) 685-0421""",,"""private""","""{cms-hh}"""
82,"""17154""","""AMEDISYS HOME HEALTH""","""4735 NORREL DRIVE, SUITE 125""",,"""TRUSSVILLE""","""AL""","""35173""",,"""(205) 655-3707""",,"""private""","""{cms-hh}"""
83,"""17155""","""ENCOMPASS HEALTH HOME HEALTH""","""6333 COTTAGE HILL ROAD""",,"""MOBILE""","""AL""","""36609""",,"""(251) 341-0707""",,"""private""","""{cms-hh}"""
84,"""17157""","""AMEDISYS HOME HEALTH OF OPELIKA""","""3320 SKYWAY DRIVE, SUITE 804""",,"""OPELIKA""","""AL""","""36801""",,"""(334) 887-7234""",,"""private""","""{cms-hh}"""
85,"""17158""","""AMEDISYS HOME HEALTH OF FORT PAYNE""","""501 GREENHILL BLVD SUITE 150""",,"""FORT PAYNE""","""AL""","""35967""",,"""(256) 844-8303""",,"""private""","""{cms-hh}"""
86,"""17159""","""AMEDISYS HOME HEALTH""","""2560 COUNTY ROAD 112""",,"""DOTHAN""","""AL""","""36303""",,"""(866) 205-0818""",,"""private""","""{cms-hh}"""
87,"""17160""","""ENCOMPASS HEALTH HOME HEALTH""","""207 FOB JAMES DRIVE""",,"""VALLEY""","""AL""","""36854""",,"""(334) 768-6225""",,"""private""","""{cms-hh}"""
88,"""17161""","""KINDRED AT HOME""","""7067 OLD MADISON PIKE NW, SUITE 105""",,"""HUNTSVILLE""","""AL""","""35806""",,"""(256) 881-3266""",,"""private""","""{cms-hh}"""
89,"""17163""","""AMEDISYS HOME HEALTH OF MONROEVILLE""","""15 MAYFIELD STREET""",,"""MONROEVILLE""","""AL""","""36460""",,"""(866) 334-0260""",,"""private""","""{cms-hh}"""
90,"""17164""","""KINDRED AT HOME""","""2740 HEADLAND AVE""",,"""DOTHAN""","""AL""","""36303""",,"""(334) 944-2290""",,"""private""","""{cms-hh}"""
91,"""17165""","""AMEDISYS HOME HEALTH OF FLORENCE""","""412 S COURT STREET, SUITE 403""",,"""FLORENCE""","""AL""","""35630""",,"""(256) 766-1817""",,"""private""","""{cms-hh}"""
92,"""17166""","""KINDRED AT HOME""","""118 6TH STREET SOUTH""",,"""CLANTON""","""AL""","""35045""",,"""(205) 755-9926""",,"""private""","""{cms-hh}"""
93,"""17167""","""KINDRED AT HOME""","""614 MARTIN ST N""",,"""PELL CITY""","""AL""","""35125""",,"""(205) 338-8440""",,"""private""","""{cms-hh}"""
94,"""17168""","""KINDRED AT HOME""","""824 WESTERN AMERICA DRIVE""",,"""MOBILE""","""AL""","""36609""",,"""(251) 316-0917""",,"""private""","""{cms-hh}"""
95,"""17170""","""KINDRED AT HOME""","""1458 JONES DAIRY ROAD SUITE 100""",,"""JASPER""","""AL""","""35501""",,"""(205) 221-5234""",,"""private""","""{cms-hh}"""
96,"""17171""","""KINDRED AT HOME""","""1015 1ST STREET, SW, SUITE A""",,"""CULLMAN""","""AL""","""35055""",,"""(256) 739-2992""",,"""private""","""{cms-hh}"""
97,"""17175""","""ENCOMPASS HEALTH HOME HEALTH""","""919 SHARIT AVENUE, STE 213""",,"""GARDENDALE""","""AL""","""35071""",,"""(205) 224-4545""",,"""private""","""{cms-hh}"""
98,"""17176""","""COMFORT CARE HOME HEALTH OF NORTH ALABAMA""","""1430 PARAMOUNT DRIVE""",,"""HUNTSVILLE""","""AL""","""35806""",,"""(256) 346-8223""",,"""private""","""{cms-hh}"""
99,"""17177""","""SHOALS HOME SERVICES, LLC""","""1114 BRADSHAW DRIVE""",,"""FLORENCE""","""AL""","""35630""",,"""(256) 246-9972""",,"""private""","""{cms-hh}"""
100,"""17178""","""PROHEALTH OF NORTHEAST ALABAMA, LLC""","""590 E MAIN STREET""",,"""CENTRE""","""AL""","""35960""",,"""(205) 383-3538""",,"""private""","""{cms-hh}"""
101,"""17179""","""PROHEALTH OF NORTH CENTRAL ALABAMA, LLC""","""25522 HIGHWAY 75 NORTH""",,"""ONEONTA""","""AL""","""35121""",,"""(205) 274-0020""",,"""private""","""{cms-hh}"""
102,"""17180""","""PROHEALTH-GULF COAST, LLC""","""101B VILLA DRIVE, SUITE 213""",,"""DAPHNE""","""AL""","""36526""",,"""(866) 330-0609""",,"""private""","""{cms-hh}"""
103,"""17182""","""FIVE POINTS HOME HEALTH""","""100 CONCOURSE PARKWAY, SUITE 120""",,"""HOOVER""","""AL""","""35244""",,"""(205) 235-3232""",,"""private""","""{cms-hh}"""
104,"""17300""","""AMEDISYS HOME HEALTH OF TUSCALOOSA""","""4116 WATERMELON ROAD""",,"""NORTHPORT""","""AL""","""35473""",,"""(866) 297-8253""",,"""private""","""{cms-hh}"""
105,"""17305""","""AMEDISYS HOME HEALTH OF ANNISTON""","""171 TOWN CENTER DR, SUITE MPS-4""",,"""ANNISTON""","""AL""","""36205""",,"""(256) 820-2503""",,"""private""","""{cms-hh}"""
106,"""17307""","""KINDRED AT HOME""","""5009 RIVER CHASE DRIVE, BLDG 100, SUITE D""",,"""PHENIX CITY""","""AL""","""36867""",,"""(334) 297-6900""",,"""private""","""{cms-hh}"""
107,"""17319""","""AMEDISYS HOME HEALTH OF MONTGOMERY""","""300 INTERSTATE PARK DRIVE, SUITE 324""",,"""MONTGOMERY""","""AL""","""36109""",,"""(334) 272-0313""",,"""private""","""{cms-hh}"""
108,"""17320""","""AMEDISYS HOME HEALTH OF SELMA""","""108 EXECUTIVE PARK LANE""",,"""SELMA""","""AL""","""36701""",,"""(334) 875-2550""",,"""private""","""{cms-hh}"""
109,"""17323""","""MONROE CO HOSP PROGRESSIVE HOM""","""DR WOODROW EDDINS MED DR-P.O. 886""",,"""MONROEVILLE""","""AL""","""36461""",,"""(251) 743-7328""",,"""local""","""{cms-hh}"""
110,"""17324""","""ENCOMPASS HEALTH HOME HEALTH""","""824 HIGHWAY 231 SOUTH""",,"""TROY""","""AL""","""36081""",,"""(334) 566-9238""",,"""private""","""{cms-hh}"""
111,"""17326""","""ENCOMPASS HEALTH HOME HEALTH""","""115 JOHNSTON STREET SE, SUITE 301A""",,"""DECATUR""","""AL""","""35601""",,"""(256) 355-2759""",,"""private""","""{cms-hh}"""
112,"""17327""","""AMEDISYS HOME HEALTH OF WALKER""","""100 HIGHWAY 78 WEST""",,"""JASPER""","""AL""","""35501""",,"""(205) 295-2434""",,"""private""","""{cms-hh}"""
113,"""17328""","""AMEDISYS HOME HEALTH OF BREWTON""","""2554 DOUGLAS AVENUE""",,"""BREWTON""","""AL""","""36426""",,"""(251) 809-1717""",,"""private""","""{cms-hh}"""
114,"""17831""","""GENEVA COUNTY HOME CARE""","""300 COUNTY ROAD 41""",,"""HARTFORD""","""AL""","""36344""",,"""(334) 684-2259""",,"""state_county""","""{cms-hh}"""
115,"""17876""","""LAWRENCE COUNTY HOME CARE""","""13299 ALABAMA HIGHWAY 157, P O BOX 308""",,"""MOULTON""","""AL""","""35650""",,"""(256) 974-7076""",,"""state_county""","""{cms-hh}"""
116,"""17878""","""COMFORT CARE HOME HEALTH OF NORTHEAST ALABAMA""","""201 S. 1ST STREET""",,"""GADSDEN""","""AL""","""35901""",,"""(256) 459-4971""",,"""private""","""{cms-hh}"""
117,"""17879""","""COMFORT CARE HOME HEALTH""","""1306 NORTH WASHINGTON STREET""",,"""LIVINGSTON""","""AL""","""35470""",,"""(205) 609-0276""",,"""private""","""{cms-hh}"""
118,"""11500""","""BAPTIST HOSPICE""","""301 INTERSTATE PARK""",,"""MONTGOMERY""","""AL""","""36109""","""Montgomery""","""(334) 395-5000""",,"""unknown""","""{cms-hospice}"""
119,"""11501""","""SOUTHERNCARE NEW BEACON N. BIRMINGHAM""","""4735 NORREL DRIVE, SUITE 129""",,"""TRUSSVILLE""","""AL""","""35173""","""Jefferson""","""(205) 939-8799""",,"""unknown""","""{cms-hospice}"""
120,"""11502""","""COMFORT CARE COASTAL HOSPICE - BALDWIN""","""22502 US HIGHWAY 98""",,"""FAIRHOPE""","""AL""","""36532""","""Baldwin""","""(251) 462-1428""",,"""unknown""","""{cms-hospice}"""
121,"""11503""","""SAAD HOSPICE SERVICES""","""1515 UNIVERSITY BOULEVARD, SOUTH""",,"""MOBILE""","""AL""","""36609""","""Mobile""","""(251) 343-9600""",,"""unknown""","""{cms-hospice}"""
122,"""11505""","""HOSPICE FAMILY CARE""","""10000 SERENITY LANE SOUTHEAST""",,"""HUNTSVILLE""","""AL""","""35803""","""Madison""","""(256) 650-1212""",,"""unknown""","""{cms-hospice}"""
123,"""11506""","""SOUTHERNCARE NEW BEACON - JASPER""","""300 NORTH AIRPORT ROAD, UNITS 3 AND 4""",,"""JASPER""","""AL""","""35504""","""Walker""","""(205) 387-9339""",,"""unknown""","""{cms-hospice}"""
124,"""11508""","""SOUTHERNCARE NEW BEACON OF ANNISTON""","""1419 LEIGHTON AVENUE, UNIT A""",,"""ANNISTON""","""AL""","""36207""","""Calhoun""","""(205) 236-5334""",,"""unknown""","""{cms-hospice}"""
125,"""11510""","""CULLMAN REGIONAL HOSPICE""","""1938 AL HWY 157, SUITE 102""",,"""CULLMAN""","""AL""","""35058""","""Cullman""","""(205) 739-5185""",,"""unknown""","""{cms-hospice}"""
126,"""11511""","""HOSPICE OF THE VALLEY, INC""","""240 JOHNSTON STREET, SE""",,"""DECATUR""","""AL""","""35601""","""Morgan""","""(205) 350-5585""",,"""unknown""","""{cms-hospice}"""
127,"""11512""","""SOUTHERNCARE NEW BEACON SCOTTSBORO""","""1602 S BROAD STREET""",,"""SCOTTSBORO""","""AL""","""35768""","""Jackson""","""(205) 574-4622""",,"""unknown""","""{cms-hospice}"""
128,"""11513""","""SHEPHERD'S COVE HOSPICE""","""408 MARTLING ROAD""",,"""ALBERTVILLE""","""AL""","""35951""","""Marshall""","""(256) 891-7724""",,"""unknown""","""{cms-hospice}"""
129,"""11514""","""ST VINCENT'S HOSPICE""","""1400 URBAN CENTER DRIVE, SUITE 240""",,"""BIRMINGHAM""","""AL""","""35242""","""Shelby""","""(205) 313-2800""",,"""unknown""","""{cms-hospice}"""
130,"""11516""","""HOSPICE OF LIMESTONE COUNTY""","""405 SOUTH MARION STREET, P O BOX 626""",,"""ATHENS""","""AL""","""35611""","""Limestone""","""(256) 232-5017""",,"""unknown""","""{cms-hospice}"""
131,"""11517""","""HOSPICE OF WEST ALABAMA""","""3851 LOOP ROAD""",,"""TUSCALOOSA""","""AL""","""35404""","""Tuscaloosa""","""(205) 345-0067""",,"""unknown""","""{cms-hospice}"""
132,"""11522""","""KINDRED HOSPICE - DOTHAN""","""2740 HEADLAND AVENUE""",,"""DOTHAN""","""AL""","""36303""","""Houston""","""(334) 792-1100""",,"""unknown""","""{cms-hospice}"""
133,"""11523""","""HOSPICE OF MONTGOMERY""","""1111 HOLLOWAY PARK""",,"""MONTGOMERY""","""AL""","""36117""","""Montgomery""","""(334) 279-6677""",,"""unknown""","""{cms-hospice}"""
134,"""11524""","""CHATTAHOOCHEE HOSPICE INC""","""6 MEDICAL PARK NORTH""",,"""VALLEY""","""AL""","""36854""","""Chambers""","""(334) 756-8043""",,"""unknown""","""{cms-hospice}"""
